d (features),Ridge Time (s),Ridge Space (MB),Lasso Time (s),Lasso Space (MB),ElasticNet Time (s),ElasticNet Space (MB)
500,0.011296987533569336,6.000456,0.7809455394744873,0.00812,0.8371939659118652,0.007832
1000,0.05105757713317871,24.000416,1.7621023654937744,0.011856,1.8905730247497559,0.011856
2000,0.2709040641784668,96.000416,5.720010757446289,0.019856,5.50429630279541,0.019856
4000,2.8290727138519287,384.000416,35.692357778549194,0.035856,39.33068919181824,0.035856
8000,14.870957851409912,1536.000416,197.62394738197327,0.067856,258.72843742370605,0.067856
